,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,BOOM Esports,5,34,0.71,0.10810810810810811,0.0,0.14,0.5,0.49,0.74,0.1125,0.38,0.9033333333333333,0.04666666666666667,0.0,1.0,1.0,0.0,1,30,0.68,0.14285714285714285,0.25,0.0,0.89,0.57,0.8875,0.26,0.62,0.9533333333333333,0.09666666666666666,0.0,1.0,1.0,0.0,0
1,T1,1,30,0.68,0.14285714285714285,0.25,0.0,0.89,0.57,0.8875,0.26,0.62,0.9533333333333333,0.09666666666666666,0.0,1.0,1.0,0.0,5,34,0.71,0.10810810810810811,0.0,0.14,0.5,0.49,0.74,0.1125,0.38,0.9033333333333333,0.04666666666666667,0.0,1.0,1.0,0.0,1
2,ZETA DIVISION,2,20,0.67,0.07407407407407407,0.0,0.0,0.36,0.5,0.715,0.19,0.3325,0.7666666666666666,0.0,0.0,1.0,1.0,0.0,2,24,0.8,0.15,0.0,0.0,0.6,0.69,0.81,0.28500000000000003,0.6675,1.0,0.2333333333333333,0.0,1.0,0.0,0.0,0
3,Nongshim RedForce,2,24,0.8,0.15,0.0,0.0,0.6,0.69,0.81,0.28500000000000003,0.6675,1.0,0.2333333333333333,0.0,1.0,0.0,0.0,2,20,0.67,0.07407407407407407,0.0,0.0,0.36,0.5,0.715,0.19,0.3325,0.7666666666666666,0.0,0.0,1.0,1.0,0.0,1
4,Global Esports,4,26,0.7,0.1724137931034483,0.0,0.4,0.56,0.52,0.7525,0.3775,0.76,0.8966666666666666,0.13333333333333333,0.0,1.0,0.0,0.0,2,30,0.71,0.16129032258064516,0.0,0.5,0.67,0.48,0.6225,0.2475,0.24,0.8666666666666667,0.10333333333333335,0.0,1.0,1.0,0.0,1
5,Team Secret,2,30,0.71,0.16129032258064516,0.0,0.5,0.67,0.48,0.6225,0.2475,0.24,0.8666666666666667,0.10333333333333335,0.0,1.0,1.0,0.0,4,26,0.7,0.1724137931034483,0.0,0.4,0.56,0.52,0.7525,0.3775,0.76,0.8966666666666666,0.13333333333333333,0.0,1.0,0.0,0.0,0
6,DetonatioN FocusMe,3,23,0.64,0.15,0.0,0.25,0.21,0.46,0.7675000000000001,0.14750000000000002,0.5925,0.6666666666666666,0.08333333333333333,0.0,0.5,1.0,0.0,3,35,0.79,0.2,0.33,0.0,0.64,0.73,0.8524999999999999,0.2325,0.40750000000000003,0.9166666666666666,0.0,0.0,1.0,0.0,0.0,0
7,Rex Regum Qeon,3,35,0.79,0.2,0.33,0.0,0.64,0.73,0.8524999999999999,0.2325,0.40750000000000003,0.9166666666666666,0.0,0.0,1.0,0.0,0.0,3,23,0.64,0.15,0.0,0.25,0.21,0.46,0.7675000000000001,0.14750000000000002,0.5925,0.6666666666666666,0.08333333333333333,0.0,0.5,1.0,0.0,1
8,DRX,4,37,0.78,0.1388888888888889,0.0,0.0,0.47,0.55,0.7,0.21000000000000002,0.4925,0.87,0.08333333333333333,0.0,1.0,0.0,0.0,2,29,0.77,0.1891891891891892,0.0,0.33,0.67,0.55,0.79,0.30000000000000004,0.5075000000000001,0.9166666666666666,0.13,0.0,1.0,1.0,0.0,1
9,Nongshim RedForce,2,29,0.77,0.1891891891891892,0.0,0.33,0.67,0.55,0.79,0.30000000000000004,0.5075000000000001,0.9166666666666666,0.13,0.0,1.0,1.0,0.0,4,37,0.78,0.1388888888888889,0.0,0.0,0.47,0.55,0.7,0.21000000000000002,0.4925,0.87,0.08333333333333333,0.0,1.0,0.0,0.0,0
10,Paper Rex,4,31,0.73,0.08823529411764706,0.0,0.33,0.46,0.48,0.785,0.23,0.39749999999999996,0.9533333333333333,0.11,0.0,1.0,1.0,0.0,2,33,0.73,0.14705882352941177,0.25,0.0,0.36,0.64,0.77,0.215,0.6025,0.89,0.04666666666666667,0.0,1.0,1.0,0.0,0
11,T1,2,33,0.73,0.14705882352941177,0.25,0.0,0.36,0.64,0.77,0.215,0.6025,0.89,0.04666666666666667,0.0,1.0,1.0,0.0,4,31,0.73,0.08823529411764706,0.0,0.33,0.46,0.48,0.785,0.23,0.39749999999999996,0.9533333333333333,0.11,0.0,1.0,1.0,0.0,1
12,TALON,4,31,0.7,0.125,0.0,0.25,0.5,0.55,0.7725000000000001,0.195,0.49750000000000005,1.0,0.0,0.0,1.0,1.0,0.0,2,30,0.67,0.06896551724137931,0.0,0.2,0.5,0.62,0.805,0.2275,0.5025000000000001,1.0,0.0,0.0,1.0,1.0,0.0,1
13,Global Esports,2,30,0.67,0.06896551724137931,0.0,0.2,0.5,0.62,0.805,0.2275,0.5025000000000001,1.0,0.0,0.0,1.0,1.0,0.0,4,31,0.7,0.125,0.0,0.25,0.5,0.55,0.7725000000000001,0.195,0.49750000000000005,1.0,0.0,0.0,1.0,1.0,0.0,0
14,Gen.G Esports,2,26,0.65,0.13513513513513514,0.0,0.5,0.59,0.53,0.845,0.24,0.6525000000000001,0.9533333333333333,0.03333333333333333,0.0,1.0,1.0,0.0,4,40,0.72,0.11428571428571428,0.0,0.0,0.5,0.53,0.76,0.155,0.3475,0.9666666666666667,0.04666666666666667,0.0,1.0,1.0,0.0,1
15,Rex Regum Qeon,4,40,0.72,0.11428571428571428,0.0,0.0,0.5,0.53,0.76,0.155,0.3475,0.9666666666666667,0.04666666666666667,0.0,1.0,1.0,0.0,2,26,0.65,0.13513513513513514,0.0,0.5,0.59,0.53,0.845,0.24,0.6525000000000001,0.9533333333333333,0.03333333333333333,0.0,1.0,1.0,0.0,0
16,Nongshim RedForce,3,31,0.75,0.11538461538461539,0.0,0.33,0.67,0.61,0.7575,0.32749999999999996,0.4825,0.8066666666666666,0.26666666666666666,0.0,1.0,1.0,0.0,3,27,0.75,0.11764705882352941,0.0,0.29,0.41,0.52,0.6725000000000001,0.24250000000000002,0.5175,0.7333333333333334,0.19333333333333336,0.0,1.0,1.0,0.0,1
17,BOOM Esports,3,27,0.75,0.11764705882352941,0.0,0.29,0.41,0.52,0.6725000000000001,0.24250000000000002,0.5175,0.7333333333333334,0.19333333333333336,0.0,1.0,1.0,0.0,3,31,0.75,0.11538461538461539,0.0,0.33,0.67,0.61,0.7575,0.32749999999999996,0.4825,0.8066666666666666,0.26666666666666666,0.0,1.0,1.0,0.0,0
18,Paper Rex,2,24,0.81,0.14285714285714285,1.0,0.5,0.67,0.69,0.94,0.20750000000000002,0.385,0.9166666666666666,0.0,0.0,0.9299999999999999,1.0,0.0,2,15,0.62,0.1875,0.0,0.17,0.3,0.41,0.5425,0.060000000000000005,0.615,1.0,0.08333333333333333,0.07,1.0,1.0,0.0,1
19,ZETA DIVISION,2,15,0.62,0.1875,0.0,0.17,0.3,0.41,0.5425,0.060000000000000005,0.615,1.0,0.08333333333333333,0.07,1.0,1.0,0.0,2,24,0.81,0.14285714285714285,1.0,0.5,0.67,0.69,0.94,0.20750000000000002,0.385,0.9166666666666666,0.0,0.0,0.9299999999999999,1.0,0.0,0
