,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,DetonatioN FocusMe,2,20,0.68,0.08,0.0,0.0,0.58,0.38,0.7349999999999999,0.22000000000000003,0.3333333333333333,0.85,0.0,0.0,1.0,1.0,0.0,2,24,0.73,0.2631578947368421,0.0,0.5,0.67,0.63,0.78,0.265,0.6666666666666666,1.0,0.15,0.0,1.0,0.0,0.0,0
1,Global Esports,2,24,0.73,0.2631578947368421,0.0,0.5,0.67,0.63,0.78,0.265,0.6666666666666666,1.0,0.15,0.0,1.0,0.0,0.0,2,20,0.68,0.08,0.0,0.0,0.58,0.38,0.7349999999999999,0.22000000000000003,0.3333333333333333,0.85,0.0,0.0,1.0,1.0,0.0,1
2,T1,3,31,0.72,0.13333333333333333,0.0,0.0,0.86,0.64,0.7825,0.3975,0.6525,0.9666666666666667,0.06666666666666667,0.0,1.0,1.0,0.0,3,33,0.62,0.07894736842105263,0.0,0.0,0.61,0.35,0.6025,0.21750000000000003,0.34750000000000003,0.9333333333333332,0.03333333333333333,0.0,1.0,1.0,0.0,1
3,ZETA DIVISION,3,33,0.62,0.07894736842105263,0.0,0.0,0.61,0.35,0.6025,0.21750000000000003,0.34750000000000003,0.9333333333333332,0.03333333333333333,0.0,1.0,1.0,0.0,3,31,0.72,0.13333333333333333,0.0,0.0,0.86,0.64,0.7825,0.3975,0.6525,0.9666666666666667,0.06666666666666667,0.0,1.0,1.0,0.0,0
4,DRX,2,43,0.71,0.20588235294117646,0.0,0.14,0.67,0.67,0.735,0.3075,0.545,0.9366666666666666,0.0,0.0,0.915,1.0,0.0,4,22,0.68,0.15789473684210525,0.0,0.0,0.43,0.5,0.6925,0.265,0.45499999999999996,1.0,0.06333333333333334,0.085,1.0,1.0,0.0,1
5,Paper Rex,4,22,0.68,0.15789473684210525,0.0,0.0,0.43,0.5,0.6925,0.265,0.45499999999999996,1.0,0.06333333333333334,0.085,1.0,1.0,0.0,2,43,0.71,0.20588235294117646,0.0,0.14,0.67,0.67,0.735,0.3075,0.545,0.9366666666666666,0.0,0.0,0.915,1.0,0.0,0
6,TALON,3,30,0.71,0.2,0.0,0.67,0.38,0.74,0.815,0.32249999999999995,0.7225,1.0,0.06666666666666667,0.0,1.0,1.0,0.0,3,25,0.63,0.08823529411764706,0.0,0.0,0.44,0.56,0.6775,0.185,0.2775,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,1
7,Team Secret,3,25,0.63,0.08823529411764706,0.0,0.0,0.44,0.56,0.6775,0.185,0.2775,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,3,30,0.71,0.2,0.0,0.67,0.38,0.74,0.815,0.32249999999999995,0.7225,1.0,0.06666666666666667,0.0,1.0,1.0,0.0,0
8,Gen.G Esports,1,29,0.63,0.11764705882352941,0.0,0.5,0.5,0.47,0.7925,0.1925,0.47250000000000003,1.0,0.18333333333333335,0.055,0.775,1.0,0.0,3,24,0.71,0.26666666666666666,0.0,0.5,0.64,0.55,0.8075000000000001,0.20750000000000002,0.5275,0.8166666666666668,0.0,0.225,0.9450000000000001,1.0,0.0,0
9,BOOM Esports,3,24,0.71,0.26666666666666666,0.0,0.5,0.64,0.55,0.8075000000000001,0.20750000000000002,0.5275,0.8166666666666668,0.0,0.225,0.9450000000000001,1.0,0.0,1,29,0.63,0.11764705882352941,0.0,0.5,0.5,0.47,0.7925,0.1925,0.47250000000000003,1.0,0.18333333333333335,0.055,0.775,1.0,0.0,1
