,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,TALON,3,26,0.64,0.0625,0.0,0.0,0.36,0.5,0.7775000000000001,0.28,0.615,1.0,0.09999999999999999,0.0,1.0,1.0,0.0,3,27,0.72,0.08695652173913043,0.0,0.0,0.62,0.68,0.72,0.22249999999999998,0.385,0.9,0.0,0.0,1.0,0.0,0.0,0
1,Gen.G Esports,3,27,0.72,0.08695652173913043,0.0,0.0,0.62,0.68,0.72,0.22249999999999998,0.385,0.9,0.0,0.0,1.0,0.0,0.0,3,26,0.64,0.0625,0.0,0.0,0.36,0.5,0.7775000000000001,0.28,0.615,1.0,0.09999999999999999,0.0,1.0,1.0,0.0,1
2,DRX,2,30,0.76,0.16,0.0,0.33,0.5,0.61,0.85,0.165,0.73,1.0,0.0,0.0,1.0,1.0,0.0,2,24,0.69,0.03333333333333333,0.5,0.33,0.63,0.43,0.835,0.15,0.27,1.0,0.0,0.0,0.5,0.0,0.0,1
3,T1,2,24,0.69,0.03333333333333333,0.5,0.33,0.63,0.43,0.835,0.15,0.27,1.0,0.0,0.0,0.5,0.0,0.0,2,30,0.76,0.16,0.0,0.33,0.5,0.61,0.85,0.165,0.73,1.0,0.0,0.0,1.0,1.0,0.0,0
4,BOOM Esports,2,12,0.62,0.14814814814814814,0.0,0.33,0.42,0.32,0.855,0.355,0.67,0.6666666666666666,0.09333333333333334,0.085,0.5,0.0,0.0,2,29,0.78,0.0,0.0,0.0,0.75,0.72,0.645,0.14500000000000002,0.33,0.9066666666666667,0.0,0.0,0.915,1.0,0.0,0
5,Gen.G Esports,2,29,0.78,0.0,0.0,0.0,0.75,0.72,0.645,0.14500000000000002,0.33,0.9066666666666667,0.0,0.0,0.915,1.0,0.0,2,12,0.62,0.14814814814814814,0.0,0.33,0.42,0.32,0.855,0.355,0.67,0.6666666666666666,0.09333333333333334,0.085,0.5,0.0,0.0,1
6,Rex Regum Qeon,3,38,0.76,0.18181818181818182,0.33,0.0,0.6,0.6,0.84,0.18749999999999997,0.455,0.9666666666666667,0.08333333333333333,0.0,1.0,0.0,0.0,3,29,0.66,0.15,0.0,0.14,0.5,0.49,0.8125,0.16,0.545,0.9166666666666666,0.03333333333333333,0.0,1.0,1.0,0.0,1
7,DRX,3,29,0.66,0.15,0.0,0.14,0.5,0.49,0.8125,0.16,0.545,0.9166666666666666,0.03333333333333333,0.0,1.0,1.0,0.0,3,38,0.76,0.18181818181818182,0.33,0.0,0.6,0.6,0.84,0.18749999999999997,0.455,0.9666666666666667,0.08333333333333333,0.0,1.0,0.0,0.0,0
8,TALON,1,33,0.68,0.14285714285714285,0.0,0.0,0.78,0.66,0.9325,0.1825,0.59,0.9700000000000001,0.05666666666666667,0.0,1.0,1.0,0.0,5,32,0.68,0.09375,0.0,0.0,0.5,0.44,0.8175,0.0675,0.41000000000000003,0.9433333333333334,0.03,0.0,1.0,1.0,0.0,1
9,Nongshim RedForce,5,32,0.68,0.09375,0.0,0.0,0.5,0.44,0.8175,0.0675,0.41000000000000003,0.9433333333333334,0.03,0.0,1.0,1.0,0.0,1,33,0.68,0.14285714285714285,0.0,0.0,0.78,0.66,0.9325,0.1825,0.59,0.9700000000000001,0.05666666666666667,0.0,1.0,1.0,0.0,0
