,Region,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,EMEA,BBL,5,37,0.74,0.15625,0.0,0.0,0.64,0.56,0.8075000000000001,0.2275,0.7424999999999999,0.93,0.0733333333333333,0.25,1.0,1.0,0.0,1,29,0.65,0.0975609756097561,0.0,0.33,0.27,0.58,0.7725,0.1925,0.2575,0.9266666666666667,0.0699999999999999,0.0,0.75,0.0,0.0,1
1,EMEA,GX,1,29,0.65,0.0975609756097561,0.0,0.33,0.27,0.58,0.7725,0.1925,0.2575,0.9266666666666667,0.0699999999999999,0.0,0.75,0.0,0.0,5,37,0.74,0.15625,0.0,0.0,0.64,0.56,0.8075000000000001,0.2275,0.7424999999999999,0.93,0.0733333333333333,0.25,1.0,1.0,0.0,0
2,EMEA,KC,4,26,0.79,0.2272727272727272,0.0,0.0,0.6,0.7,0.7675,0.3325,0.6174999999999999,0.9533333333333333,0.11,0.0,1.0,1.0,0.0,2,31,0.71,0.1176470588235294,0.0,0.0,0.43,0.42,0.6675,0.2325,0.3825,0.89,0.0466666666666666,0.0,1.0,1.0,0.0,1
3,EMEA,NAVI,2,31,0.71,0.1176470588235294,0.0,0.0,0.43,0.42,0.6675,0.2325,0.3825,0.89,0.0466666666666666,0.0,1.0,1.0,0.0,4,26,0.79,0.2272727272727272,0.0,0.0,0.6,0.7,0.7675,0.3325,0.6174999999999999,0.9533333333333333,0.11,0.0,1.0,1.0,0.0,0
4,EMEA,TL,3,34,0.75,0.1379310344827586,0.0,0.0,0.5,0.68,0.8125,0.2925,0.4599999999999999,1.0,0.1033333333333333,0.0,1.0,1.0,0.0,3,28,0.71,0.1794871794871795,0.4,0.0,0.38,0.46,0.7075,0.1875,0.54,0.8966666666666666,0.0,0.0,1.0,1.0,0.0,1
5,EMEA,MKOI,3,28,0.71,0.1794871794871795,0.4,0.0,0.38,0.46,0.7075,0.1875,0.54,0.8966666666666666,0.0,0.0,1.0,1.0,0.0,3,34,0.75,0.1379310344827586,0.0,0.0,0.5,0.68,0.8125,0.2925,0.4599999999999999,1.0,0.1033333333333333,0.0,1.0,1.0,0.0,0
6,EMEA,APK,1,19,0.68,0.1290322580645161,0.0,0.0,0.5,0.55,0.755,0.1975,0.555,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,3,27,0.74,0.1818181818181818,0.5,0.0,0.67,0.59,0.8025,0.245,0.445,1.0,0.0833333333333333,0.0,1.0,1.0,0.0,0
7,EMEA,M8,3,27,0.74,0.1818181818181818,0.5,0.0,0.67,0.59,0.8025,0.245,0.445,1.0,0.0833333333333333,0.0,1.0,1.0,0.0,1,19,0.68,0.1290322580645161,0.0,0.0,0.5,0.55,0.755,0.1975,0.555,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,1
8,EMEA,FNC,4,38,0.73,0.1470588235294117,0.0,0.0,0.56,0.45,0.6475,0.1925,0.375,0.8533333333333334,0.0566666666666666,0.0,1.0,1.0,0.0,2,27,0.67,0.3023255813953488,0.25,0.25,0.59,0.63,0.8075,0.3525,0.625,0.9433333333333334,0.1466666666666666,0.0,1.0,1.0,0.0,0
9,EMEA,BBL,2,27,0.67,0.3023255813953488,0.25,0.25,0.59,0.63,0.8075,0.3525,0.625,0.9433333333333334,0.1466666666666666,0.0,1.0,1.0,0.0,4,38,0.73,0.1470588235294117,0.0,0.0,0.56,0.45,0.6475,0.1925,0.375,0.8533333333333334,0.0566666666666666,0.0,1.0,1.0,0.0,1
10,EMEA,VIT,5,38,0.7,0.2307692307692307,0.0,0.5,0.5,0.53,0.8175,0.265,0.7224999999999999,0.9633333333333334,0.0833333333333333,0.0,1.0,1.0,0.0,1,34,0.68,0.1162790697674418,0.0,0.0,0.6,0.52,0.7350000000000001,0.1825,0.2774999999999999,0.9166666666666666,0.0366666666666666,0.0,1.0,1.0,0.0,1
11,EMEA,KC,1,34,0.68,0.1162790697674418,0.0,0.0,0.6,0.52,0.7350000000000001,0.1825,0.2774999999999999,0.9166666666666666,0.0366666666666666,0.0,1.0,1.0,0.0,5,38,0.7,0.2307692307692307,0.0,0.5,0.5,0.53,0.8175,0.265,0.7224999999999999,0.9633333333333334,0.0833333333333333,0.0,1.0,1.0,0.0,0
12,EMEA,FUT,2,23,0.79,0.4285714285714285,0.0,1.0,0.71,0.75,0.7975,0.6025,0.8175,0.9166666666666666,0.4433333333333333,0.0,1.0,1.0,0.0,2,16,0.73,0.0769230769230769,0.0,0.25,0.3,0.37,0.3974999999999999,0.2025,0.1825,0.5566666666666666,0.0833333333333333,0.0,0.0,1.0,0.0,1
13,EMEA,TL,2,16,0.73,0.0769230769230769,0.0,0.25,0.3,0.37,0.3974999999999999,0.2025,0.1825,0.5566666666666666,0.0833333333333333,0.0,0.0,1.0,0.0,2,23,0.79,0.4285714285714285,0.0,1.0,0.71,0.75,0.7975,0.6025,0.8175,0.9166666666666666,0.4433333333333333,0.0,1.0,1.0,0.0,0
14,EMEA,TH,3,27,0.71,0.1153846153846153,0.0,0.0,0.43,0.69,0.9475,0.1775,0.5375,1.0,0.0833333333333333,0.29,1.0,1.0,0.0,3,28,0.63,0.0,0.0,0.0,0.55,0.48,0.5725,0.0525,0.4625,0.9166666666666666,0.0,0.0,0.71,1.0,0.0,1
15,EMEA,M8,3,28,0.63,0.0,0.0,0.0,0.55,0.48,0.5725,0.0525,0.4625,0.9166666666666666,0.0,0.0,0.71,1.0,0.0,3,27,0.71,0.1153846153846153,0.0,0.0,0.43,0.69,0.9475,0.1775,0.5375,1.0,0.0833333333333333,0.29,1.0,1.0,0.0,0
