,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,BBL Esports,5,37,0.74,0.15625,0.0,0.0,0.64,0.56,0.8075000000000001,0.2275,0.7424999999999999,0.93,0.07333333333333333,0.25,1.0,1.0,0.0,1,29,0.65,0.0975609756097561,0.0,0.33,0.27,0.58,0.7725,0.1925,0.2575,0.9266666666666667,0.06999999999999999,0.0,0.75,0.0,0.0,1
1,GIANTX,1,29,0.65,0.0975609756097561,0.0,0.33,0.27,0.58,0.7725,0.1925,0.2575,0.9266666666666667,0.06999999999999999,0.0,0.75,0.0,0.0,5,37,0.74,0.15625,0.0,0.0,0.64,0.56,0.8075000000000001,0.2275,0.7424999999999999,0.93,0.07333333333333333,0.25,1.0,1.0,0.0,0
2,Karmine Corp,4,26,0.79,0.22727272727272727,0.0,0.0,0.6,0.7,0.7675,0.3325,0.6174999999999999,0.9533333333333333,0.11,0.0,1.0,1.0,0.0,2,31,0.71,0.11764705882352941,0.0,0.0,0.43,0.42,0.6675,0.2325,0.3825,0.89,0.04666666666666667,0.0,1.0,1.0,0.0,1
3,Natus Vincere,2,31,0.71,0.11764705882352941,0.0,0.0,0.43,0.42,0.6675,0.2325,0.3825,0.89,0.04666666666666667,0.0,1.0,1.0,0.0,4,26,0.79,0.22727272727272727,0.0,0.0,0.6,0.7,0.7675,0.3325,0.6174999999999999,0.9533333333333333,0.11,0.0,1.0,1.0,0.0,0
4,Team Liquid,3,34,0.75,0.13793103448275862,0.0,0.0,0.5,0.68,0.8125,0.2925,0.45999999999999996,1.0,0.10333333333333335,0.0,1.0,1.0,0.0,3,28,0.71,0.1794871794871795,0.4,0.0,0.38,0.46,0.7075,0.1875,0.54,0.8966666666666666,0.0,0.0,1.0,1.0,0.0,1
5,KOI,3,28,0.71,0.1794871794871795,0.4,0.0,0.38,0.46,0.7075,0.1875,0.54,0.8966666666666666,0.0,0.0,1.0,1.0,0.0,3,34,0.75,0.13793103448275862,0.0,0.0,0.5,0.68,0.8125,0.2925,0.45999999999999996,1.0,0.10333333333333335,0.0,1.0,1.0,0.0,0
6,Apeks,1,19,0.68,0.12903225806451613,0.0,0.0,0.5,0.55,0.755,0.1975,0.555,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,3,27,0.74,0.18181818181818182,0.5,0.0,0.67,0.59,0.8025,0.24500000000000002,0.445,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,0
7,Gentle Mates,3,27,0.74,0.18181818181818182,0.5,0.0,0.67,0.59,0.8025,0.24500000000000002,0.445,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,1,19,0.68,0.12903225806451613,0.0,0.0,0.5,0.55,0.755,0.1975,0.555,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,1
8,FNATIC,4,38,0.73,0.14705882352941177,0.0,0.0,0.56,0.45,0.6475,0.1925,0.375,0.8533333333333334,0.05666666666666667,0.0,1.0,1.0,0.0,2,27,0.67,0.3023255813953488,0.25,0.25,0.59,0.63,0.8075,0.3525,0.625,0.9433333333333334,0.14666666666666667,0.0,1.0,1.0,0.0,0
9,BBL Esports,2,27,0.67,0.3023255813953488,0.25,0.25,0.59,0.63,0.8075,0.3525,0.625,0.9433333333333334,0.14666666666666667,0.0,1.0,1.0,0.0,4,38,0.73,0.14705882352941177,0.0,0.0,0.56,0.45,0.6475,0.1925,0.375,0.8533333333333334,0.05666666666666667,0.0,1.0,1.0,0.0,1
