,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,BBL Esports,0,24,0.73,0.21739130434782608,0.33,0.0,1.0,0.63,0.8375,0.23500000000000001,0.5425,0.9533333333333333,0.0,0.0,1.0,0.0,0.0,4,21,0.69,0.19230769230769232,0.0,0.0,0.36,0.43,0.765,0.1625,0.4575,1.0,0.04666666666666667,0.0,1.0,1.0,0.0,1
1,Natus Vincere,4,21,0.69,0.19230769230769232,0.0,0.0,0.36,0.43,0.765,0.1625,0.4575,1.0,0.04666666666666667,0.0,1.0,1.0,0.0,0,24,0.73,0.21739130434782608,0.33,0.0,1.0,0.63,0.8375,0.23500000000000001,0.5425,0.9533333333333333,0.0,0.0,1.0,0.0,0.0,0
2,FNATIC,1,19,0.79,0.125,0.33,0.0,1.0,0.67,0.9825,0.1925,0.635,1.0,0.11,0.0,1.0,1.0,0.0,3,21,0.59,0.04,0.0,0.0,0.4,0.33,0.8075,0.0175,0.365,0.89,0.0,0.0,0.5,1.0,0.0,1
3,FUT Esports,3,21,0.59,0.04,0.0,0.0,0.4,0.33,0.8075,0.0175,0.365,0.89,0.0,0.0,0.5,1.0,0.0,1,19,0.79,0.125,0.33,0.0,1.0,0.67,0.9825,0.1925,0.635,1.0,0.11,0.0,1.0,1.0,0.0,0
4,Natus Vincere,4,39,0.71,0.10256410256410256,0.0,0.0,0.9,0.5,0.6875,0.27,0.34,0.9166666666666666,0.26,0.1,1.0,1.0,0.0,2,36,0.73,0.21739130434782608,0.0,0.4,0.56,0.53,0.73,0.3125,0.66,0.7399999999999999,0.08333333333333333,0.0,0.9,1.0,0.0,1
5,Karmine Corp,2,36,0.73,0.21739130434782608,0.0,0.4,0.56,0.53,0.73,0.3125,0.66,0.7399999999999999,0.08333333333333333,0.0,0.9,1.0,0.0,4,39,0.71,0.10256410256410256,0.0,0.0,0.9,0.5,0.6875,0.27,0.34,0.9166666666666666,0.26,0.1,1.0,1.0,0.0,0
6,FUT Esports,2,22,0.77,0.1875,0.0,0.0,0.5,0.78,0.875,0.22999999999999998,0.5725,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,2,17,0.64,0.041666666666666664,0.0,0.0,0.33,0.39,0.77,0.125,0.4275,0.9166666666666666,0.0,0.0,1.0,0.0,0.0,1
7,Team Vitality,2,17,0.64,0.041666666666666664,0.0,0.0,0.33,0.39,0.77,0.125,0.4275,0.9166666666666666,0.0,0.0,1.0,0.0,0.0,2,22,0.77,0.1875,0.0,0.0,0.5,0.78,0.875,0.22999999999999998,0.5725,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,0
8,Team Heretics,2,29,0.74,0.21428571428571427,0.0,0.0,0.6,0.63,0.7975,0.1975,0.61,1.0,0.15,0.0,1.0,1.0,0.0,2,20,0.69,0.07142857142857142,0.0,0.33,0.55,0.45,0.8025,0.2025,0.39,0.85,0.0,0.0,1.0,1.0,0.0,1
9,BBL Esports,2,20,0.69,0.07142857142857142,0.0,0.33,0.55,0.45,0.8025,0.2025,0.39,0.85,0.0,0.0,1.0,1.0,0.0,2,29,0.74,0.21428571428571427,0.0,0.0,0.6,0.63,0.7975,0.1975,0.61,1.0,0.15,0.0,1.0,1.0,0.0,0
